sttl,dttl,sbytes,dbytes,Sload,Dload,sloss,dloss,Spkts,Dpkts,tcprtt,Sjit,Label
31,29,2438,20826,1601214.0,13695978.0,7,13,38,40,0.000671,0.0,0
31,29,1684,10168,11521.99609,70752.71875,3,4,14,18,0.000994,8792.829079,0
31,29,2230,15236,1336626.0,9145238.0,7,11,34,36,0.000781,22.276206,0
31,29,24952,1094788,32799.64453,1440666.75,38,390,444,858,0.000609,4749.793282,0
31,29,2438,16920,110732.125,768454.8125,7,12,38,38,0.000685,267.651759,0
31,29,2958,32642,336352.0313,3714153.25,7,18,48,50,0.000798,82.051893,0
31,29,424,8824,13342.38379,290907.125,1,4,8,12,0.000646,2166.847915,0
31,29,2438,20826,490305.9375,4193830.0,7,13,38,40,0.000682,0.0,0
31,29,4118,59460,662586.6875,9565239.0,7,28,70,70,0.001686,40.784839,0
31,29,1684,10168,10911.0918,67001.35938,3,5,14,18,0.000706,8839.300029,0
31,29,544,304,1506229.875,841716.6875,0,0,4,4,0.0,0.700979,0
31,29,19046,1063890,108478.1172,6068063.5,2,360,357,730,0.000669,214.831246,0
31,29,320,1956,593993.3125,3808676.5,1,2,6,8,0.000628,37.340353,0
31,30,1076,13788,161054.6875,2037967.375,2,2,18,15,0.000689,169.085297,0
31,29,3744,2456,5543406.0,3637076.25,7,7,18,18,0.000758,13.747736,0
254,60,172,86,3433.887451,1144.62915,1,1,4,2,0.300505,5485.677002,0
31,29,2934,3740,27582.50586,35182.55078,11,15,52,54,0.00058,1416.229962,0
31,29,4908,2344,43755.59766,20637.87305,9,6,34,24,0.000723,1956.826879,0
31,29,528,304,87768.39063,50533.3125,0,0,4,4,0.0,9.420548,0
31,29,30910,1378226,18146.27148,809795.375,44,462,554,1067,0.001353,0.0,0
31,29,2230,12896,2153157.75,12469419.0,7,11,34,36,0.000598,0.0,0
31,29,568,304,751820.0,402382.5313,0,0,4,4,0.0,1.735712,0
31,29,37518,3380,8806271.0,789757.125,18,8,52,42,0.000661,38.616237,0
31,29,3614,50036,943174.625,13064588.0,7,24,60,62,0.000766,29.742828,0
31,29,2934,3742,54334.69531,69343.75781,11,15,52,54,0.000599,995.730296,0
31,29,4288,3080,98487.85156,70930.30469,7,7,28,30,0.000694,685.061387,0
31,29,520,304,1729490.0,1011086.5,0,0,4,4,0.0,0.648417,0
31,29,1044,824,1438803.625,1168044.125,2,2,8,10,0.000703,45.299503,0
31,29,3806,53914,399142.4688,5656169.5,7,26,64,66,0.000881,72.999315,0
31,29,568,312,27675.5918,15202.08594,0,0,4,4,0.0,50.89448,0
31,29,4908,2552,40076.59375,20702.875,9,6,34,28,0.000733,2275.366507,0
31,29,4238,61348,201598.7969,2918793.75,7,30,72,74,0.000738,139.572517,0
31,29,1958,2308,37092.44141,43899.66797,6,6,22,24,0.000763,1379.30297,0
31,29,2230,13358,288907.4063,1733044.125,7,11,34,36,0.000711,132.808025,0
31,29,2766,28906,1018983.438,10656366.0,7,16,44,46,0.001134,30.977644,0
31,29,2062,2424,85913.10156,101296.625,6,7,24,26,0.000706,491.70496,0
31,29,3390,41228,1116325.875,13582971.0,7,22,56,58,0.00067,23.596279,0
31,29,2958,31784,1011875.688,10879847.0,7,18,48,50,0.00077,31.937779,0
31,29,424,8824,5351.97168,116690.2969,1,4,8,12,0.000636,4982.213065,0
31,29,2542,21006,508695.4063,4207869.5,7,14,40,42,0.000755,65.860398,0
31,29,4238,63618,258815.5,3885885.75,7,30,72,74,0.000712,93.858868,0
31,29,424,8824,13344.00391,290942.4375,1,4,8,12,0.000672,2144.668022,0
31,29,1044,824,1871033.75,1518935.5,2,2,8,10,0.000586,32.790697,0
31,29,1470,1728,2491018.0,2847638.0,5,4,22,14,0.000773,13.46098,0
31,29,3598,47394,50779.57813,669073.6875,7,24,60,62,0.000655,598.521217,0
31,29,4238,61348,1152348.5,16683966.0,7,30,72,74,0.000563,0.0,0
31,29,2230,13358,1605190.0,9628916.0,7,11,34,36,0.000839,18.550528,0
31,29,1684,10168,9465.18457,58122.53125,3,5,14,18,0.000677,9198.661837,0
31,29,2830,3742,4073.429688,5393.549805,11,15,50,54,0.001088,7292.8169,0
31,29,520,304,23756.58789,13888.4668,0,0,4,4,0.0,54.67373,0
31,29,1064,2260,1784278.0,3787934.25,4,4,12,12,0.000778,18.394361,0
31,29,2542,21006,1650878.125,13655872.0,7,14,40,42,0.000801,17.719534,0
31,29,20970,2566,3126930.0,380215.3125,11,6,37,30,0.000641,144.618698,0
31,29,2438,19420,216415.7813,1726130.125,7,13,38,40,0.00062,141.964155,0
31,29,568,320,39065.99219,22009.00977,0,0,4,4,0.0,33.891863,0
31,29,18890,1087890,128022.5703,7383756.0,2,370,354,746,0.000673,211.474048,0
30,31,620,1728,5680960.5,11855917.0,0,1,3,2,0.0,0.285499,0
31,29,2854,31538,338337.0938,3742187.5,7,17,46,48,0.000626,82.566137,0
31,29,2854,31538,1365197.75,15099811.0,7,17,46,48,0.000719,0.0,0
31,29,2854,31538,375957.3125,4158287.25,7,17,46,48,0.000686,78.899948,0
31,29,2854,30654,1242753.0,13360485.0,7,17,46,48,0.000804,22.710894,0
31,29,3800,2456,3880524.25,2508447.0,7,7,18,18,0.000679,20.612708,0
31,29,2990,33818,1352112.625,15304548.0,7,18,48,50,0.00078,19.762096,0
31,29,2062,2424,2275356.0,2682779.5,6,7,24,26,0.001229,17.543173,0
31,29,4640,2768,147128.6406,87774.28906,7,7,24,24,0.001058,776.983289,0
31,29,37232,3380,12893499.0,1165202.875,18,8,52,42,0.000679,23.251174,0
31,29,1684,10168,11262.59473,69159.82031,3,5,14,18,0.000623,8813.968427,0
31,29,3598,48918,63337.09766,861359.5,7,24,60,62,0.000623,459.420628,0
31,29,5000,3080,70650.07031,43632.5,7,7,28,30,0.000741,1059.368086,0
31,29,37232,3172,1492588.875,126262.6484,18,8,52,38,0.00069,637.556688,0
31,29,2542,23432,1524365.875,14066103.0,7,14,40,42,0.00075,19.103779,0
31,29,2054,2478,2428859.0,2941631.75,6,6,22,24,0.000814,17.842553,0
31,29,320,1838,745029.6875,4489710.5,1,2,6,8,0.000589,28.635644,0
31,29,7816,16782,1772746.625,3807334.75,30,32,122,126,0.000682,18.321228,0
31,29,146,178,391683.4375,477531.875,0,0,2,2,0.0,0.0,0
31,29,528,8824,981190.4375,16674053.0,1,4,10,12,0.000609,24.854535,0
31,29,2714,3530,13200.68945,17198.64063,10,14,48,52,0.000677,2627.387142,0
31,29,37232,3380,1016168.063,91832.47656,18,8,52,42,0.0007,578.776004,0
31,29,568,312,729452.0,400684.9063,0,0,4,4,0.0,1.693052,0
31,29,2646,24330,817146.4375,7522303.0,7,15,42,44,0.000797,38.826636,0
