sttl,sbytes,dbytes,sload,dload,label
31,25160,1094788,41427.62109,1804558.75,0
31,1272,2572,18776.20313,38244.90625,0
31,2830,3368,10157.53906,12087.25195,0
31,4862,80850,241618.1563,4018253.25,0
31,23792,1056038,18631.40625,827928.0625,0
31,2054,2478,177908.8281,215468.3594,0
31,3390,42510,1271538.375,15952652.0,0
31,37466,3276,667384.0625,58027.87109,0
31,37310,3380,982946.1875,88643.25,0
31,2796,3422,11574.54004,14163.08106,0
31,3078,30508,409528.9688,4054975.0,0
31,13454,548216,199307.4688,8137210.5,0
31,2048,2410,2670748.25,3153741.5,0
31,8928,424,16040629.0,717775.0625,0
31,3302,35400,1370981.375,14707275.0,0
31,5174,87114,585326.8125,9856643.0,0
31,5486,95318,333881.7188,5802248.0,0
31,3598,46036,353758.5,4527589.0,0
31,4862,82930,574975.6875,9808212.0,0
31,7812,14706,22797.68164,42929.55078,0
31,3390,44134,451127.8125,5876041.5,0
31,880,5512,191326.5469,1065399.0,0
254,818,1514,15067.45313,27088.70508,1
31,4656,3080,46030.27344,30529.65625,0
31,2230,13500,1914870.0,11608623.0,0
31,1684,10168,11814.39551,72548.24219,0
31,568,312,27463.27344,15085.45996,0
31,2126,12618,261533.3281,1554853.75,0
31,5174,89856,231609.2031,4022948.25,0
31,2766,25742,1027892.625,9573011.0,0
31,2750,27294,514671.4063,5112441.0,0
31,4908,2448,506599.6563,250322.3438,0
254,564,354,4816.940918,2939.47168,1
31,424,8824,13266.46484,289251.8438,0
31,2854,30136,744930.625,7873266.0,0
31,568,320,760884.125,428667.125,0
31,2854,29218,541596.9375,5549816.5,0
31,7812,15964,75604.25781,154545.7188,0
31,12856,13306,153804.6563,159145.25,0
31,2974,31400,1003617.563,10601895.0,0
31,424,8824,698024.5,15219192.0,0
31,3806,51314,1153322.25,15555231.0,0
31,3302,40550,1283246.75,15768770.0,0
31,2334,16920,455331.8438,3304666.25,0
31,2438,17428,1332585.0,9511086.0,0
31,3598,49642,262717.375,3625781.75,0
31,1684,10168,7308.543457,44879.31641,0
31,3390,42634,156768.5938,1972506.75,0
31,2766,26586,1583369.875,15229981.0,0
31,3390,40986,315520.1875,3816562.5,0
31,4168,2456,6353843.5,3744200.25,0
31,8928,320,296483.0313,9547.819336,0
31,4056,2872,125409.8516,89112.94531,0
31,3302,37226,333294.75,3759927.0,0
31,8928,320,289420.75,9320.388672,0
31,3728,5474,4320574.0,6275119.5,0
31,36952,77164,53742.66797,112265.2813,0
31,2750,27174,1201542.125,11883109.0,0
31,1580,10168,11442.43652,75840.6875,0
254,172,86,2448.119629,816.039917,0
31,3926,56628,564401.9375,8143618.5,0
31,2766,25742,1623049.25,15115846.0,0
31,3598,45458,994659.875,12570264.0,0
31,7820,15306,17347.39844,33963.41406,0
31,520,304,86133.11719,50354.74609,0
31,2230,14042,1593522.875,10048394.0,0
31,568,312,732588.125,402407.5625,0
31,2230,15258,1890004.375,12950677.0,0
31,1684,10168,11209.15918,68831.69531,0
31,1064,2260,1581847.75,3358184.75,0
31,2438,20718,1198687.125,10199949.0,0
31,1580,10168,10150.13379,67275.28125,0
31,2750,27730,837057.1875,8447801.0,0
31,24240,29348,47590.0,57625.03516,0
31,2750,27620,510880.9375,5135418.0,0
31,37144,3380,9255296.0,838388.0,0
31,2646,24330,1032477.313,9504547.0,0
31,2766,24004,1365139.5,11855611.0,0
31,2438,20194,1404837.625,11651749.0,0
62,986,86,28040.37109,1466.832031,0
31,3302,37226,1176833.75,13275962.0,0
31,2646,24692,356515.5938,3330653.5,0
31,3926,58386,274437.8125,4082714.75,0
31,12622,548216,47198.09766,2054572.75,0
31,17122,1087890,39409.09375,2508366.0,0
31,1540,1644,618349.25,665025.1875,0
31,7252,14714,22647.48438,45966.07422,0
31,2438,20826,1757704.875,15034522.0,0
31,8928,320,165849.4375,5340.948242,0
31,3704,2456,5542970.5,3675247.75,0
31,7806,15310,1541470.625,3023814.75,0
31,3302,35400,1240811.625,13310872.0,0
31,3598,45458,187485.5156,2369395.25,0
31,1036,824,481998.1563,394313.8125,0
31,3390,42312,997192.625,12452331.0,0
31,5174,88436,359160.1875,6139835.0,0
31,4238,66608,290590.5625,4567972.5,0
31,37182,3276,884649.0,77507.15625,0
31,3702,46036,887319.1875,11032181.0,0
31,3182,39694,178303.375,2225735.75,0
31,1684,10168,12347.72559,75823.25,0
31,37202,3172,570006.9375,48256.95313,0
31,2934,3742,666261.5625,850305.3125,0
31,3614,46932,510393.8438,6631386.0,0
31,5928,8010,125478.9766,169341.7656,0
31,2542,23122,1537245.25,13997055.0,0
31,1684,10168,10553.69727,64806.71875,0
31,3728,5474,591270.875,858750.625,0
31,2854,29218,1183050.875,12122881.0,0
31,2766,24004,1163010.75,10100215.0,0
31,1958,2412,108320.3516,134458.6563,0
31,3302,40550,309163.5313,3799058.0,0
31,2750,27602,365124.375,3667815.75,0
31,2958,32330,339963.625,3718124.75,0
31,4216,2456,4708943.0,2743532.75,0
31,4654,67380,120587.1875,1745785.625,0
31,11618,498826,40909.29297,1760844.25,0
31,2048,2410,2693653.5,3180789.0,0
31,5928,8010,133388.5938,180016.2969,0
31,4238,65596,643101.625,9955767.0,0
31,3494,40986,436937.375,5125171.0,0
31,1470,1728,2426966.25,2774416.75,0
31,5928,8010,132617.5469,178975.7031,0
31,2934,3742,26569.91406,33909.41406,0
31,4014,57836,1096175.125,15800998.0,0
31,8928,320,298211.9375,9603.496094,0
31,2542,21006,1530955.625,12663887.0,0
31,528,304,87494.47656,50375.60938,0
31,2334,16290,1405464.0,9820912.0,0
31,320,1880,697811.1875,4299248.5,0
31,1920,4312,2189964.0,4937873.0,0
31,4448,3080,91240.6875,63336.77344,0
31,7444,14090,27043.1582,51202.44531,0
31,1684,10168,9985.793945,61319.41406,0
31,8928,320,68569.53906,2208.185547,0
31,424,8824,48647.76172,1060678.625,0
31,2854,30654,532849.875,5728518.0,0
31,8224,321856,216185.4375,8489535.0,0
31,3390,44134,158656.4219,2066535.75,0
31,1036,822,1848662.5,1508280.25,0
31,1684,10168,11994.22168,73652.49219,0
31,3210,27552,28850.22461,248126.6719,0
31,4456,2560,346263.0,200074.0313,0
31,3614,49486,833929.75,11418315.0,0
31,512,304,87304.97656,51837.32813,0
29,1338,890,28394.12305,18639.22461,0
31,13142,548216,31718.23438,1325851.25,0
31,1580,10168,10352.44922,68616.23438,0
31,3806,51314,352323.0625,4751895.0,0
31,2334,15258,1167695.5,7631173.0,0
31,3926,54818,998257.5,13943078.0,0
31,1470,1728,13405.99707,15325.23145,0
31,544,304,1826524.875,1020705.125,0
31,1958,2308,152811.5625,180855.625,0
31,4208,3080,61764.19141,45326.21094,0
31,13316,542112,39608.66406,1615707.25,0
31,4488,2456,6831587.5,3738920.25,0
31,2166,2308,3243285.25,3444141.75,0
31,2854,31142,343556.7813,3752299.75,0
31,37302,3380,12924707.0,1165820.25,0
31,2766,26586,1217264.125,11708514.0,0
31,2974,30612,971850.3125,10008757.0,0
31,1036,2262,1940260.5,4235895.0,0
31,5088,3080,97865.25,59393.25391,0
31,3728,5474,117537.4688,170709.1875,0
31,1054,824,1902602.375,1529502.75,0
31,13246,548216,61569.69922,2553375.75,0
31,2766,28348,500346.9375,5131516.5,0
31,8928,424,178796.125,8000.646484,0
31,2766,28906,1419888.375,14848966.0,0
31,1684,10168,10557.77637,64831.76563,0
31,528,304,19069.40234,10979.35352,0
31,1140,2366,216260.375,448653.4688,0
